"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"thought",-0.018201,-0.053788,0.084575,0.004232,0.0909,0.013309,0.039048,-0.011959,0.017425,-0.022856,0.039506,0.014327,-0.039521,-0.017812,-0.071297,-0.039578,0.047121,-0.009101,-0.068127,-0.060125,-0.126029,-0.022251,0.029238,-0.057191,0.019083,0.004035,0.001918,0.059367,0.028587,0.024453,0.027109,0.011204,0.003474,-0.026888,-0.121295,0.05989,0.097683,-0.023286,0.033637,0.086986,0.036224,-0.075873,-0.035657,0.056872,-0.07471,0.023063,-0.023871,-0.003662,-0.036927,0.068031,-0.014783,0.014624,0.093943,-0.01249,0.049361,-0.02233,0.047995,0.004299,-0.04677,0.094233,-0.018061,-0.021384,-0.016691,-0.049322,-0.036663,-0.035554,-0.011196,0.072208,-0.047452,0.017998,0.025661,0.026512,0.105006,-0.009735,-0.055951,-0.002039,0.056555,-0.042478,-0.053541,-0.072931,0.105571,0.050919,-0.01128,-0.041244,0.05095,-0.026984,-0.022457,-0.008056,0.010875,-0.012968,-0.058679,0.033249,-0.033354,0.031111,-0.1278,-0.038576,0.000177,-0.034571,-0.05094,-0.070831
"Gentleman",-0.008479,-0.020095,0.05068,-0.000154,0.05172,-0.008517,0.038796,-0.018752,-0.000561,-0.035219,0.008631,0.027563,-0.017683,0.01782,-0.052104,-0.016947,0.025132,0.001991,-0.035503,-0.03696,-0.084114,-0.002057,0.007816,-0.038509,0.012394,-0.016082,-0.024569,0.025935,0.021923,-0.006115,0.003733,-0.004059,-0.014918,-0.010312,-0.046933,0.035133,0.021832,-0.014434,0.043187,0.038034,0.034092,-0.041191,0.020003,0.032476,-0.035476,0.025511,-0.030293,0.002714,-0.014901,0.041472,-0.013694,0.022865,0.061708,-0.001429,0.024111,-0.000854,0.035963,-0.025221,-0.037753,0.067722,-0.028779,-0.021884,-0.0051,-0.015912,-0.050593,-0.051375,-0.021421,0.033451,-0.043469,0.0036,0.024454,-0.0097,0.036441,-0.029009,-0.029834,0.03042,0.052062,-0.014489,-0.037088,-0.039172,0.050781,0.016946,-0.011299,-0.008242,0.009076,-0.019325,-0.009966,-0.031289,0.005134,-0.002589,-0.029987,0.033061,-0.009246,0.028001,-0.059924,-0.005951,0.02427,0.009227,-0.033596,-0.044625
"11",0.005978,-0.034473,0.063885,-0.015873,0.052518,-0.043394,0.062565,-0.051554,-0.024251,-0.007221,0.05118,0.028703,-0.036406,0.035309,-0.068742,-0.00153,0.02914,0.044155,-0.05361,-0.0702,-0.081628,-0.020653,0.03791,-0.016284,0.028504,0.011376,-0.056631,0.026293,0.018396,-0.029247,-0.014481,0.005413,-0.024389,-0.00028,-0.037978,0.057513,0.028228,-0.002261,0.033764,0.028711,0.060152,-0.026141,0.023092,0.035614,-0.046183,0.04347,-0.044616,-0.016843,-0.037927,0.029879,-0.012575,0.012545,0.061004,-0.01258,0.022487,-0.010142,0.047178,-0.050332,-0.065852,0.113337,-0.023478,-0.031359,-0.007586,-0.027385,-0.042146,-0.102237,-0.05634,0.015423,-0.042507,0.011349,0.029825,-0.017442,0.052253,0.001043,-0.006933,0.050776,0.077289,-0.021607,-0.069987,-0.034752,0.04058,0.023324,0.019327,-0.011231,0.034082,-0.027998,-0.02907,-0.014415,0.027427,-0.020277,-0.039937,0.043021,0.020391,0.031544,-0.088038,-0.00274,0.058,-0.01149,-0.046428,-0.034481
"St.",-0.002086,-0.017306,0.053526,-0.006875,0.04529,-0.035547,0.043682,-0.035633,-0.023479,-0.035298,0.023446,0.029958,-0.013339,0.017663,-0.059797,-0.010309,0.03217,0.030295,-0.035022,-0.042284,-0.078907,-0.022873,0.020908,-0.028748,0.026424,-0.02778,-0.051014,0.034331,0.031232,-0.02757,-0.017081,0.012451,-0.026218,-0.018007,-0.030608,0.056184,-0.003497,-0.007628,0.049313,0.014448,0.043626,-0.029158,0.03643,0.024349,-0.020018,0.033023,-0.034548,-0.013316,-0.013483,0.031551,-0.02774,0.026098,0.063347,-0.008841,0.026623,0.00125,0.054212,-0.061176,-0.051939,0.083109,-0.030727,-0.045405,-0.008671,-0.019545,-0.063518,-0.087156,-0.040214,0.0102,-0.045861,-0.000619,0.02463,-0.039842,0.018368,-0.03173,-0.025811,0.061455,0.076834,-0.009875,-0.051433,-0.016648,0.038713,0.010761,-0.001641,0.013005,0.006883,-0.021613,-0.003901,-0.030695,0.006598,-0.000276,-0.040619,0.034154,0.013661,0.02495,-0.070138,-0.001478,0.053335,0.015458,-0.041741,-0.029413
"Part",-0.001376,-0.055406,0.062621,-0.014866,0.092923,-0.059602,0.083246,-0.049928,-0.028741,-0.003946,0.080447,0.012861,-0.023744,0.005435,-0.068138,-0.026611,0.04195,0.043581,-0.05717,-0.077263,-0.083673,-0.023535,0.047847,-0.018083,0.043181,-0.007553,-0.042624,0.034611,0.024793,-0.004134,0.008082,0.029447,-0.00872,-0.036854,-0.083926,0.068654,0.048513,0.015737,0.027424,0.034893,0.040766,-0.03579,-0.019306,0.038757,-0.03254,0.030689,-0.016194,-0.010442,-0.068,0.047184,-0.007785,-0.016052,0.058756,-0.022691,0.052795,-0.038983,0.02346,-0.026525,-0.050316,0.05054,-0.001806,-0.023099,-0.013118,-0.039676,0.004679,-0.041715,-0.058201,0.034071,-0.046579,0.021524,0.038222,-0.005183,0.058749,0.013366,-0.019391,0.03216,0.070058,-0.005216,-0.045708,-0.023195,0.050922,0.034828,-0.016035,-0.003621,0.043024,-0.045868,0.003888,0.013554,-5.4e-05,0.008734,-0.057839,-0.001866,0.005982,0.012002,-0.058133,-0.043351,-0.002459,-0.017008,-0.037117,-0.00515
"5",-0.004357,-0.028968,0.067395,0.001151,0.029566,-0.027534,0.049933,-0.051246,-0.018809,-0.024014,0.037015,0.032188,-0.031139,0.050136,-0.073367,0.00388,0.027398,0.0289,-0.044192,-0.055761,-0.085891,-0.011632,0.028916,-0.033753,0.009765,0.000483,-0.048786,0.021325,0.01545,-0.044018,-0.017771,0.002074,-0.02501,0.007108,-0.018314,0.052099,0.016034,-0.017627,0.040085,0.026263,0.07683,-0.027554,0.036456,0.036066,-0.053889,0.042774,-0.053307,-0.008718,-0.019035,0.026062,-0.012433,0.028775,0.065601,-0.004429,0.020017,0.00049,0.05372,-0.052486,-0.063025,0.136953,-0.033284,-0.040487,-0.008811,-0.018895,-0.076351,-0.116343,-0.041263,0.005998,-0.037485,-0.000531,0.013651,-0.011475,0.047891,-0.015339,-0.018645,0.05983,0.077816,-0.0336,-0.067924,-0.042634,0.032145,0.018311,0.030764,-0.020736,0.021077,-0.011779,-0.027736,-0.039382,0.0255,-0.0256,-0.026163,0.067556,0.022441,0.028578,-0.096272,0.020468,0.071729,-0.003975,-0.047953,-0.043828
"France",-0.004884,-0.041162,0.063187,0.006343,0.051682,-0.033954,0.045108,-0.042262,-0.029362,-0.004226,0.061168,0.022425,-0.037056,0.024505,-0.06152,-0.003968,0.030377,0.038483,-0.042311,-0.060544,-0.073352,-0.021922,0.034829,-0.023103,0.01415,0.00452,-0.03757,0.022865,0.015394,-0.026184,-0.006851,0.017722,-0.008661,0.000456,-0.048258,0.055036,0.029994,0.001686,0.030621,0.024587,0.057584,-0.031904,0.01034,0.025184,-0.046313,0.038473,-0.037073,-0.012462,-0.038556,0.031459,-0.00524,0.009536,0.050364,-0.016614,0.030323,-0.020584,0.036245,-0.033675,-0.057384,0.095215,-0.021233,-0.025622,-0.006467,-0.040133,-0.035931,-0.079915,-0.039217,0.011625,-0.037569,0.01302,0.011767,-0.002797,0.053308,0.004656,-0.011825,0.041713,0.076948,-0.022506,-0.055358,-0.038509,0.036858,0.027495,0.014067,-0.021878,0.040312,-0.027133,-0.015119,-0.011276,0.019808,-0.006513,-0.035871,0.03476,0.012344,0.016315,-0.087997,-0.008694,0.043493,-0.017716,-0.045829,-0.027727
"8",-0.027019,-0.038004,0.076426,0.015484,0.07803,-0.022841,0.059399,-0.044312,-0.019499,-0.031545,0.051509,0.028306,-0.031972,0.023436,-0.087482,-0.019425,0.038376,0.022331,-0.051037,-0.056435,-0.112321,-0.016807,0.031023,-0.056063,0.018971,-0.01078,-0.042802,0.027267,0.031485,-0.029203,-0.004196,0.028527,-0.001406,-0.013119,-0.073661,0.072127,0.03607,-0.026519,0.057841,0.036582,0.078149,-0.066753,0.014295,0.047368,-0.056423,0.034582,-0.03956,-0.008159,-0.036134,0.066397,-0.023529,0.025487,0.082646,-0.012482,0.031001,-0.019215,0.046514,-0.040221,-0.055842,0.11548,-0.021331,-0.051615,-0.025466,-0.051148,-0.065429,-0.103203,-0.037725,0.034777,-0.045679,0.00694,0.019458,-0.019072,0.057595,-0.029114,-0.03654,0.055904,0.091177,-0.031855,-0.065831,-0.056026,0.0687,0.026076,0.004527,-0.013147,0.019988,-0.024534,-0.017482,-0.02739,0.020054,-0.002645,-0.050661,0.053945,-0.001831,0.022982,-0.120893,-0.022617,0.046496,-0.004446,-0.058749,-0.036505
"Congress",0.002725,-0.03418,0.083048,-0.01572,0.060171,-0.021843,0.066694,-0.046286,-0.0013,-0.017486,0.043028,0.029403,-0.041155,0.012624,-0.084653,-0.010595,0.03953,0.019319,-0.069781,-0.075578,-0.111899,-0.028366,0.040699,-0.02868,0.026836,0.011389,-0.037653,0.055101,0.033902,-0.008285,0.004202,-0.009743,-0.02881,-0.019382,-0.0654,0.059518,0.05384,-0.014205,0.036079,0.075428,0.053142,-0.04251,0.007998,0.055443,-0.064882,0.03599,-0.037849,-0.007873,-0.035221,0.043427,-0.010993,0.02126,0.084041,-0.009923,0.035492,-0.014109,0.060902,-0.037439,-0.064053,0.129858,-0.032004,-0.019038,-0.009855,-0.019908,-0.051826,-0.081223,-0.045594,0.048679,-0.050678,0.005613,0.040818,0.005068,0.075484,-0.006745,-0.038127,0.034514,0.076895,-0.027096,-0.063002,-0.049683,0.068792,0.036364,-0.003364,-0.027451,0.043099,-0.029042,-0.03729,-0.018741,0.024921,-0.025836,-0.046335,0.033433,-0.001094,0.036944,-0.113574,0.004571,0.034792,-0.028437,-0.049835,-0.064665
"Meeting",-0.013884,-0.020324,0.047975,0.003519,0.037343,-0.019887,0.04211,-0.040248,-0.001521,-0.013113,0.034923,0.017405,-0.035245,0.01465,-0.048865,-0.00101,0.02299,0.010685,-0.038327,-0.042064,-0.063861,-0.013942,0.021893,-0.023982,0.000727,0.008998,-0.0207,0.007199,0.018325,-0.029963,-0.00897,0.011982,-0.006458,0.001698,-0.032385,0.041503,0.032307,-0.026695,0.020818,0.019064,0.051807,-0.042077,0.01587,0.02985,-0.039046,0.016029,-0.026162,-0.003915,-0.024618,0.030926,-0.019156,0.015601,0.051422,0.001119,0.008502,-0.011325,0.030213,-0.026832,-0.033471,0.088502,-0.016466,-0.02549,-0.014404,-0.021991,-0.033692,-0.074458,-0.024123,0.025367,-0.033043,0.000358,0.010928,-0.01171,0.038681,-0.017483,-0.021611,0.021195,0.051398,-0.021039,-0.04643,-0.034912,0.034571,0.010678,0.009872,-0.014309,0.010829,-0.014435,-0.025217,-0.022814,0.024617,-0.011219,-0.024263,0.041524,0.005115,0.008172,-0.0819,-0.003784,0.037208,-0.004414,-0.034978,-0.025899
"N.",-0.004898,-0.041485,0.064429,0.002951,0.066183,-0.048033,0.069074,-0.062121,-0.027843,-0.021245,0.055707,0.036972,-0.039983,0.03811,-0.086547,-0.004794,0.034222,0.036139,-0.054856,-0.071906,-0.096666,-0.018163,0.038469,-0.034238,0.012586,-0.003606,-0.058836,0.018139,0.022164,-0.040206,-0.023472,0.02214,-0.020556,-0.004384,-0.037942,0.058493,0.018506,-0.012269,0.035452,0.0301,0.078486,-0.039155,0.032987,0.040466,-0.051023,0.043401,-0.049958,-0.014483,-0.036335,0.044976,-0.021859,0.021508,0.073958,-0.007177,0.025286,-0.01269,0.047323,-0.051245,-0.069322,0.119445,-0.024689,-0.04171,-0.014154,-0.034446,-0.059493,-0.110809,-0.055075,0.018232,-0.051292,0.009956,0.023094,-0.021684,0.046331,-0.014488,-0.016063,0.058106,0.085912,-0.021227,-0.067875,-0.035029,0.042895,0.014066,0.019767,-0.010135,0.023484,-0.018969,-0.020909,-0.022935,0.017608,-0.013222,-0.041981,0.053378,0.020373,0.030031,-0.088295,-0.005621,0.053362,-0.00227,-0.050336,-0.026305
"sent",-0.01602,-0.041882,0.06172,-0.012713,0.085662,-0.030392,0.074662,-0.050161,-0.014861,-0.014298,0.050267,0.024854,-0.036854,0.009624,-0.073651,-0.007584,0.04692,0.021928,-0.070574,-0.080229,-0.103325,-0.010229,0.036695,-0.022325,0.025831,0.009406,-0.039796,0.023204,0.022505,-0.011921,0.007267,0.006253,-0.017891,-0.013542,-0.073911,0.0503,0.049667,-0.006437,0.028193,0.051974,0.059708,-0.049497,0.001811,0.047258,-0.053111,0.021799,-0.028258,-0.00866,-0.058607,0.044702,-0.014872,0.003719,0.070104,-0.011915,0.038046,-0.024562,0.027011,-0.025512,-0.047036,0.088858,-0.009866,-0.016986,-0.017775,-0.023073,-0.01602,-0.057404,-0.053941,0.048109,-0.052875,0.013326,0.040044,-0.007416,0.060922,-0.009413,-0.024864,0.01598,0.052516,-0.011694,-0.041158,-0.037985,0.062736,0.032744,-0.009735,-0.015968,0.03068,-0.031673,-0.018684,-0.008107,0.012151,-0.008689,-0.036795,0.015521,-0.009736,0.015803,-0.078276,-0.027258,0.012972,-0.01076,-0.035516,-0.038015
"Spent",-0.026253,-0.017668,0.057824,-0.003552,0.044466,-0.01571,0.05125,-0.048366,-0.000315,-0.031372,0.018037,0.03482,-0.032263,0.031353,-0.07358,0.003266,0.026941,0.007037,-0.047454,-0.052551,-0.09401,0.003475,0.010364,-0.033309,0.004911,0.004074,-0.034466,0.014374,0.029739,-0.038194,-0.015797,-0.00885,-0.02236,0.004086,-0.027821,0.040654,0.024946,-0.03942,0.039169,0.037452,0.072057,-0.05213,0.049325,0.047919,-0.045554,0.025032,-0.039223,-0.009841,-0.020018,0.037796,-0.026883,0.034507,0.067202,0.009472,0.002868,-0.001323,0.042428,-0.041131,-0.047127,0.113981,-0.024781,-0.031647,-0.005955,0.003693,-0.061081,-0.101089,-0.031985,0.030316,-0.05067,-0.012728,0.01261,-0.020377,0.043855,-0.03843,-0.03192,0.031353,0.056718,-0.01387,-0.053624,-0.042327,0.056089,0.013685,0.018669,-0.012005,0.003749,-0.009447,-0.041669,-0.051606,0.024248,-0.022256,-0.015035,0.05611,-0.007704,0.02101,-0.099727,0.010969,0.060347,0.005439,-0.0415,-0.06147
"England",-0.022093,-0.043264,0.064769,0.006632,0.078218,-0.025697,0.055076,-0.049002,-0.013868,-0.010787,0.058583,0.026257,-0.036708,0.01581,-0.065436,-0.016988,0.034027,0.017427,-0.04496,-0.063168,-0.099729,-0.012365,0.034298,-0.040052,0.012878,-0.002238,-0.038976,0.016093,0.017225,-0.02222,0.002035,0.022387,0.00396,-0.00842,-0.065774,0.059259,0.05136,-0.016356,0.039497,0.036379,0.070558,-0.055045,0.00717,0.043854,-0.050931,0.033085,-0.037808,-0.001242,-0.042514,0.049235,-0.016894,0.012004,0.075605,-0.020209,0.033608,-0.026549,0.03381,-0.029891,-0.056126,0.104878,-0.017422,-0.027069,-0.01215,-0.040659,-0.04007,-0.073757,-0.042598,0.039882,-0.048797,0.019634,0.020585,-0.008278,0.067316,-0.011919,-0.025487,0.033125,0.075959,-0.030253,-0.055048,-0.054174,0.055655,0.032278,0.006269,-0.022511,0.031964,-0.027968,-0.015413,-0.009626,0.020169,0.002642,-0.046839,0.04235,-0.003455,0.013329,-0.10449,-0.025677,0.035697,-0.006626,-0.04646,-0.04159
"Son",0.015829,-0.021352,0.047401,-0.022677,0.0518,-0.01914,0.044817,-0.018116,-0.009296,-0.026493,0.018532,0.022541,-0.009064,-0.001,-0.0501,-0.01433,0.029818,0.022581,-0.044434,-0.041026,-0.07252,-0.019492,0.011544,-0.0236,0.033636,-0.018522,-0.033656,0.044621,0.032697,0.006835,0.005635,0.006356,-0.022206,-0.030601,-0.049017,0.046639,0.014467,0.004334,0.038146,0.032126,0.02153,-0.022523,0.002573,0.029064,-0.018719,0.020943,-0.018339,-0.007839,-0.011746,0.031141,-0.017006,0.01567,0.060532,-0.011842,0.030988,0.006125,0.044893,-0.033723,-0.03964,0.050914,-0.026982,-0.025783,-0.008698,-0.010968,-0.03839,-0.044541,-0.02996,0.020733,-0.043328,-0.005603,0.03596,-0.018998,0.035464,-0.014504,-0.035689,0.037188,0.055148,-0.006317,-0.033338,-0.005643,0.041113,0.023454,-0.016403,0.008656,0.027873,-0.028899,-0.010002,-0.016984,-0.007905,-0.001284,-0.03666,0.011973,0.005363,0.032185,-0.044776,-0.00332,0.008061,-0.005667,-0.032729,-0.028776
"Year",-0.004008,-0.04912,0.047096,-0.01672,0.09233,-0.049281,0.06409,-0.031132,-0.028637,-0.013116,0.066779,0.013777,-0.02565,0.002795,-0.059785,-0.025719,0.041521,0.037649,-0.055705,-0.066869,-0.078679,-0.02175,0.047877,-0.009002,0.044651,-0.011572,-0.04383,0.030172,0.020335,-0.004891,0.008598,0.025993,-0.004456,-0.033234,-0.081771,0.05406,0.04353,0.016964,0.026293,0.033884,0.040871,-0.030422,-0.003782,0.035134,-0.030236,0.013475,-0.017672,-0.009593,-0.057029,0.041117,-0.013959,-0.009031,0.062333,-0.01761,0.041911,-0.031565,0.029299,-0.027714,-0.050634,0.046242,0.002781,-0.015866,-0.014755,-0.034289,0.007084,-0.045236,-0.050053,0.040285,-0.049672,0.020508,0.036677,-0.008044,0.049994,-0.005781,-0.020725,0.034087,0.059615,0.002391,-0.042098,-0.01524,0.045424,0.027207,-0.01947,-0.005344,0.032561,-0.036609,-0.001015,0.00885,0.003597,0.013011,-0.052849,0.002176,-0.004375,0.016294,-0.061032,-0.039053,-0.002889,-0.00331,-0.034547,-0.005017
"both",-0.000306,-0.037697,0.067551,-0.017299,0.079562,-0.029912,0.068463,-0.039695,-0.021434,-0.013381,0.052764,0.02563,-0.029751,0.001328,-0.076376,-0.024256,0.043319,0.022935,-0.06649,-0.073823,-0.101077,-0.029796,0.034303,-0.026634,0.03705,-0.006655,-0.034423,0.045421,0.033818,-0.000527,0.002469,0.015673,-0.011376,-0.028906,-0.082628,0.067265,0.048304,-0.000418,0.036557,0.049322,0.047242,-0.039829,-0.006311,0.044279,-0.039362,0.026403,-0.029274,-0.01248,-0.03899,0.052542,-0.015663,0.010654,0.074577,-0.019684,0.039035,-0.019871,0.043474,-0.029732,-0.057088,0.08378,-0.018233,-0.023888,-0.012862,-0.027555,-0.030336,-0.066969,-0.049868,0.049964,-0.059528,0.011113,0.043869,-0.004817,0.071326,-0.001551,-0.037138,0.036215,0.071305,-0.014141,-0.059727,-0.033184,0.06162,0.033294,-0.010278,-0.012075,0.044242,-0.044953,-0.022151,-0.005702,0.00215,0.004079,-0.056204,0.016117,5.1e-05,0.031261,-0.086984,-0.022996,0.012595,-0.013944,-0.04418,-0.038529
"Went",-0.014723,-0.043596,0.087833,-0.017319,0.093728,-0.054907,0.093153,-0.060041,-0.016421,-0.032734,0.060965,0.046053,-0.042012,0.033606,-0.105139,-0.014602,0.05531,0.03036,-0.07861,-0.080656,-0.13784,-0.025517,0.036093,-0.041166,0.037638,-0.010888,-0.05741,0.042694,0.046073,-0.032921,-0.013757,0.01601,-0.031069,-0.026796,-0.077477,0.078441,0.037156,-0.008375,0.055345,0.054062,0.072855,-0.056967,0.029192,0.056515,-0.052941,0.031233,-0.050853,-0.011225,-0.047543,0.059414,-0.0348,0.021758,0.097005,-0.008204,0.043859,-0.017809,0.064053,-0.055978,-0.077611,0.117154,-0.022351,-0.045388,-0.02585,-0.022583,-0.055458,-0.09946,-0.061102,0.049212,-0.071863,0.005871,0.052176,-0.026684,0.064826,-0.02754,-0.039467,0.053683,0.091771,-0.012589,-0.069901,-0.031268,0.077065,0.026876,-0.00907,1e-05,0.030545,-0.042032,-0.03258,-0.032373,0.016908,-0.007585,-0.053924,0.040902,0.000403,0.033242,-0.107768,-0.014635,0.037494,-0.001172,-0.05056,-0.043882
"under",0.005143,-0.041894,0.069092,-0.013863,0.075583,-0.047802,0.076028,-0.05316,-0.020799,-0.012814,0.062651,0.029668,-0.039309,0.026479,-0.091582,-0.011828,0.047105,0.039274,-0.077462,-0.088048,-0.10764,-0.031261,0.048845,-0.021035,0.034961,-0.001084,-0.058785,0.03985,0.031339,-0.030252,-0.004916,0.008429,-0.028427,-0.020839,-0.066126,0.067789,0.041439,0.000648,0.038313,0.044947,0.063925,-0.040714,0.017541,0.053674,-0.051373,0.03154,-0.04634,-0.010861,-0.048173,0.045066,-0.014931,0.011568,0.084482,-0.007505,0.039148,-0.025716,0.046724,-0.046243,-0.075758,0.110773,-0.021821,-0.029194,-0.01337,-0.027257,-0.039571,-0.091116,-0.061428,0.034291,-0.059244,0.004893,0.046936,-0.019181,0.062739,-0.012073,-0.032105,0.047982,0.088479,-0.013942,-0.071321,-0.034769,0.060757,0.031554,-0.003028,-0.016228,0.04306,-0.03607,-0.021343,-0.020789,0.015347,-0.011065,-0.048629,0.027063,0.013211,0.032658,-0.096579,-0.016787,0.038926,-0.008849,-0.047626,-0.035083
